original_hs_naics,matched_bea_naics,match_level,has_wildcard,original_length,matched_length,problematic
111110,11111,level_5,False,6,5,No
111120,11112,level_5,False,6,5,No
111130,11113,level_5,False,6,5,No
111140,11114,level_5,False,6,5,No
111150,11115,level_5,False,6,5,No
111160,11116,level_5,False,6,5,No
111199,11119,level_5,False,6,5,No
111211,1112,level_4,False,6,4,No
111219,1112,level_4,False,6,4,No
111310,1113,level_4,False,6,4,No
111320,1113,level_4,False,6,4,No
111331,1113,level_4,False,6,4,No
111332,1113,level_4,False,6,4,No
111333,1113,level_4,False,6,4,No
111334,1113,level_4,False,6,4,No
111335,1113,level_4,False,6,4,No
111339,1113,level_4,False,6,4,No
111411,1114,level_4,False,6,4,No
111419,1114,level_4,False,6,4,No
111421,1114,level_4,False,6,4,No
111422,1114,level_4,False,6,4,No
111910,1119,level_4,False,6,4,No
111920,1119,level_4,False,6,4,No
111930,1119,level_4,False,6,4,No
111940,1119,level_4,False,6,4,No
111991,1119,level_4,False,6,4,No
111992,1119,level_4,False,6,4,No
111998,1119,level_4,False,6,4,No
11211X,11211,exact,True,5,5,No
112210,1122,level_4,False,6,4,No
1123XX,1123,exact,True,4,4,No
112410,1124,level_4,False,6,4,No
112420,1124,level_4,False,6,4,No
112511,1125,level_4,False,6,4,No
112512,1125,level_4,False,6,4,No
112910,1129,level_4,False,6,4,No
112920,1129,level_4,False,6,4,No
112930,1129,level_4,False,6,4,No
112990,1129,level_4,False,6,4,No
113210,113,level_3,False,6,3,No
113310,113,level_3,False,6,3,No
114111,114,level_3,False,6,3,No
114112,114,level_3,False,6,3,No
114119,114,level_3,False,6,3,No
115114,115,level_3,False,6,3,No
211120,211,level_3,False,6,3,No
211130,211,level_3,False,6,3,No
212111,2121,level_4,False,6,4,No
212112,2121,level_4,False,6,4,No
212113,2121,level_4,False,6,4,No
212210,21221,level_5,False,6,5,No
212221,21222,level_5,False,6,5,No
212222,21222,level_5,False,6,5,No
212230,21223,level_5,False,6,5,No
212291,21229,level_5,False,6,5,No
212299,21229,level_5,False,6,5,No
212311,21231,level_5,False,6,5,No
212312,21231,level_5,False,6,5,No
212319,21231,level_5,False,6,5,No
212321,21232,level_5,False,6,5,No
212322,21232,level_5,False,6,5,No
212324,21232,level_5,False,6,5,No
212325,21232,level_5,False,6,5,No
212391,21239,level_5,False,6,5,No
212392,21239,level_5,False,6,5,No
212393,21239,level_5,False,6,5,No
212399,21239,level_5,False,6,5,No
311111,311111,exact,False,6,6,No
311119,311119,exact,False,6,6,No
311211,31121,level_5,False,6,5,No
311212,31121,level_5,False,6,5,No
311213,31121,level_5,False,6,5,No
311221,311221,exact,False,6,6,No
311224,311224,exact,False,6,6,No
311225,311225,exact,False,6,6,No
311230,31123,level_5,False,6,5,No
31131X,3113,level_4,True,5,4,No
311340,3113,level_4,False,6,4,No
31135X,3113,level_4,True,5,4,No
311411,31141,level_5,False,6,5,No
311412,31141,level_5,False,6,5,No
311421,31142,level_5,False,6,5,No
311422,31142,level_5,False,6,5,No
311423,31142,level_5,False,6,5,No
311511,311511,exact,False,6,6,No
311512,311512,exact,False,6,6,No
